,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
response,"대답, 응답, 회신, 답장","반응, 대응, 부응",(교회 예배에서) 응창(應唱),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spokesman,대변인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main,"(같은 종류 중) 가장 큰[중요한], 주된, 주-",(수도가스를 나르는) 본관; (전선 중) 간선,(하수관) 본관,"(한 건물지역으로 들어가는 수도가스전기 공급이 시작되는) 본선; (건물에 대한) 수도, 가스, 전기 공급 시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
writing,(읽기·말하기 등과 대조되는) 쓰기,"(직업적인) 글쓰기, 집필[저술] (활동)",(책·기사 등을 통칭하는) 글,(특정한 작가의·특정한 주제에 대한) 글[저작물/저술물],(손으로 쓰거나 인쇄된) 글자[글씨],(개인의) 필체[서체/글씨체],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shanghai,(어떤 일을) 속여서 하게 하다[강제로 시키다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leonard,남자 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anonymously,작자[저자]미상으로; 익명으로.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hurricane,허리케인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rush,"급(속)히 움직이다[하다], (너무 급히) 서두르다",급히 수송하다[보내다],성급하게 하다; 재촉하다,"갑자기 덤벼들다, 난입하다",(미식축구에서 공을 가진 선수에게) 덤벼들다[공격하다],(공을 가지고) 돌진하다,(남여학생 사교클럽에서 적극적으로) 가입을 권유하다,&lt;급작스럽고 세찬 움직임을 나타냄&gt;,&lt;바삐 서둘러야 하는 상황&gt;,"혼잡, 분주함, 북적거림",(강한 감정이 갑자기) 치밀어 오름[북받침],(격렬한) 기쁨[흥분],수요 급증,골풀,러시(편집되기 전의 영화 프린트),(미식축구에서 공을 가진 상대팀 선수를 향한) 공격,러시(미식축구에서 공을 가지고 돌진하기),(남여학생 사교클럽의 적극적인) 가입 권유,,,,,,,,,,,,,,,,,,,,,
steamer,"증기선, 기선","찜통, 시루",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receptor,(인체의) 수용기[감각기],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
route,(한 곳에서 다른 곳으로 가기 위해 따라가는) 길[경로/루트],(버스기차수송품 등의) 노선,(어떤 일을 달성하는) 길[방법/경로],&lt;미국에서 주요 도로 번호 앞에 붙임&gt;,(특정한 루트를 따라 무엇을) 보내다[전송하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inaccurately,"부정확하게; 틀려서, 잘못되어.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjust,(약간) 조정[조절]하다,적응하다,(매무새 등을) 바로잡다[정돈하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mainly,주로,"대부분, 대개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overseen,"oversee(관장하다, 감독하다)의 과거분사형",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interface,인터페이스,접속기,접점(두 가지 주제시스템 등이 서로 만나서 영향을 주고받는 영역),(접속기로) 접속하다[되다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
added,"추가된, 부가된",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prepared,(…을 처리할) 준비가 된,(기꺼이 …할) 준비[각오]가 되어 있는,(글·물건 등이) 미리 준비된,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graphic,그래픽[도표]의,(특히 불쾌한 것에 대해) 생생한[상세한],그래픽(특히 컴퓨터신문책에 나오는 그림이나 사진),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wake,(잠에서) 깨다[일어나다]; 깨우다,(기억감정을) 일깨우다[떠올리게 하다],(초상집에서의) 경야(經夜),(수면 위의) 배가 지나간 흔적[항적],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host,(손님을 초대한) 주인,(행사의) 주최국[측],(TV라디오 프로의) 진행자,(기생 생물의) 숙주,많은 ~,(네트워크의) 호스트[중앙] 컴퓨터,성찬식의 빵,(행사를) 주최하다,(TV라디오 프로를) 진행하다,(파티를) 주최하다[열다],(웹사이트를) 관리하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
injured,"부상을 입은, 다친",부상자들,"상처를 받은, 기분이 상한",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartment,아파트,(휴양지) 콘도,(특히 궁궐이나 대저택의) 방,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expressway,(미국에서) 도시 고속화 도로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenth,10[열] 번째,10분의 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dilemma,딜레마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
everything,"모든 것, 모두",(현재의 일반적인 상황·생활을 나타내는) 모든 것[만사],"전부, 가장 중요한 것",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncomfortable,불편한,(몸이) 불편한,(마음이) 불편한[거북한],(일 등이) 불쾌한[언짢은],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
square,정사각형 모양의,"직각의, (거의) 직각을 이루는",(측정 단위 뒤에 쓰여) 제곱[평방]의,(면적을 나타낼 때에는 숫자 뒤에 써서) 제곱[평방]의,(어깨 따위가) 떡 벌어진,(…와) 평행[수평]을 이루는,(서로 빚진 게 없이) 셈이 끝난,(두 팀이) 동점의,(특히 사업에서) 공정한[정직한],(…와) 일치하는,"고지식한, 재미없는",정사각형,광장,,제곱,고지식한[재미없는] 사람,네모지게[사각형으로/직각으로] 만들다,제곱하다,(몸어깨를) 똑바로 펴다[딱 벌리다],동점을 만들다,(사람을 돈으로) 매수하다,"똑바로, 정면으로",,,,,,,,,,,,,,,,,
securely,단단히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appropriate,적절한,(불법적으로나 무단으로) 도용[전용]하다,(특히 돈의 사용처를) 책정하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ix,[-or(남성 명사)에 대한 여성 명사 어미](cf. -ESS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go,(한 장소에서 다른 장소로) 가다,(특히 다른 사람과 함께 어떤 장소행사에) 가다[다니다],(특정한 방식으로 또는 특정한 거리를) 가다,"날아서, 노래하며 가다 등(특정한 태도나 행동을 보이며 가는 것을 나타냄)",(어디로 가기 위해) 가다[떠나다],(~을 하러) 떠나다[가다],(특정한 장소와 관련된 목적을 위해) ~에 가다[다니다],(수영낚시 등을) 하러 가다,전달[발송]되다,(한 곳에서 다른 곳으로) 이어지다[연결되다],(제자리에) 놓이다,(크기나 양 때문에) (~에) 들어가다/들어가지 않다,(어떤 수 안에 다른 수가 정확히 몇 배수가) 들어가다,(일의 진행이 어떻게) 되다[되어 가다],&lt;여러 표현들에 쓰여 특정한 상태가 되거나 그런 상태가 끝남을 나타냄&gt;,&lt;특히 좋지 않게 변함을 나타냄&gt;,&lt;특정한 상태로 살거나 돌아다님을 나타냄&gt;,"눈에 띄지, 신고되지 않다 등","(노래의 선율이나 가사, 이야기 내용 등이 어떻게) 되다",(어떤 소리가) 나다; (어떤 동작을) 하다,(신호경고음이) 울리다,말하다,(활동을) 시작하다,(기계가) 가다[작동하다],"없어지다, 사라지다",처분되다; 해고되다,(건강이나 몸의 기능 등이) 가다[망가지다],세상을 떠나다(die라는 말을 피하기 위해 씀),(돈이) 나가다[쓰이다],팔리다,(어떤 액수의 가격을 기꺼이) 내다[주다],도움이 되다; 역할을 하다,구할[이용할] 수 있다,(시간이) 가다,화장실에 가다,(경기활동 등의) 차례[한 번 하기],시도,"활력, 정력",바둑
waste,(돈시간 등을 필요 이상으로 들여) 낭비하다,(가치를 인정받지 못하거나 엉뚱한 곳에) 헛되이 주다[쓰다/하다],(제대로 이용하지 못하고) 낭비[허비]하다,(사람을 보통 죽임으로써) 제거하다,(경기경쟁에서 상대를) 처참히 지게 만들다,낭비[허비](하는 행위),낭비[허비](되는 상황),"쓰레기, 폐기물",불모지(사람동식물이 거의 살지 않는 넓은 지역),(땅이) 폐허의[버려진],"쓸모가 없어진, 폐물이 된",,,,,,,,,,,,,,,,,,,,,,,,,,,,
proposal,"제안, 제의","청혼, 프러포즈",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
somewhere,어딘가에[에서/에로],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bold,"용감한, 대담한","선명한, 굵은",볼드체[굵은 활자체]의,"볼드체, 굵은 활자체",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
germany,독일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wilt,(화초 등이[을]) 시들다[시들게 하다],(사람이) 지치다[처지다/풀이 죽다],you will (이때 you는 한 사람임),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generously,"아낌없이, 후하게; 관대하게; 풍부하게",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doubt,"의심, 의혹, 의문","확신하지 못하다, 의심하다, 의문[의혹]을 갖다","믿지 않다, 의심하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medieval,중세의(서기 약 1000년에서 1450년 사이의),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conference,(보통 여러 날 동안 대규모로 열리는) 회의[학회],"(공식) 회담, 협의",(스포츠) 연맹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
booking,예약,(극장·콘서트 등의) 출연 예약[계약],(심판의) 반칙 기록,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misconception,(옳지 않거나 사람들이 제대로 이해하지 못하는 정보에 근거한) 오해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notify,(공식적으로) 알리다[통고/통지하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daimler,다임러 ((독일제 고급 자동차; 상표명)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overwhelmingly,압도적으로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suffer,(질병·고통·슬픔·결핍 등에) 시달리다; 고통받다,(부상·패배·상실 등을) 겪다[당하다],"더 나빠지다, 악화되다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluator,평가하는 사람.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
someplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progressively,(꾸준히) 계속해서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eat,(음식·밥 등을) 먹다,식사하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
administrative,관리[행정]상의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contractual,"계약상의, 계약된",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquarium,수족관,수족관 (건물),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incredible,"믿을 수 없는, 믿기 힘든",(너무 좋거나 커서) 믿어지지 않을 정도인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presume,(실질적인 증거는 없지만 사실일 것이라고) 추정하다[여기다/생각하다],(특히 법정에서 반대되는 증거가 나올 때까지는 무엇을 사실로) 간주하다,(무엇을 사실로 보고 그것을 기반으로) 상정하다,주제넘게 굴다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harvest,수확[추수](기),수확물[량],"수확하다, 거둬들이다",(인체의 세포조직을 실험수술 목적으로) 채취하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safety,안전(함),안전성,안전한 곳,,세이프티(미식축구에서 상대 팀과 멀리 떨어져 있는 수비수),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrown,THROW의 과거분사,꼰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
show,(…을 분명히) 보여 주다[증명하다],(…에게) 보여 주다[제시하다],(무엇을 하는 법 등을) 보여[가르쳐] 주다,(방향위치를) 알려[가리켜] 주다,(장소로) 안내[인도]하다,(어떤 특질을) 보이다[드러내다],(행동으로 존경 등을) 보이다,(감정자질이[을]) 보이다[드러나다/드러내다],(흔적 등이[을]) 보이다[드러나다/드러내다],(특정한 정보를) 보여 주다[나타내다],(그림사진이) 보여 주다,"(대중에게) 보이다[보여 주다], 전시되다[하다], 상영되다[하다]",(능력 등을) 보여 주다[증명하다],(예정된 곳에) 나타나다,(동물을 대회에) 내보내다,"(극장에서 하는) 쇼, (특히 춤과 노래가 포함되는) 공연물",(텔레비전라디오의) 프로[프로그램],전시[전람](회),(감정의) 표시[표현],"허세, 가식",(형형색색의보기 좋은) 모습[광경],"행사; 사업, 일",(특정한 방식으로 행해지는) 일,,,,,,,,,,,,,,,,
biz,(특히 연예 오락 부문의) 산업[사업],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jefferson,제퍼슨 Thomas ~ (1743-1826) ((미국 제3대 대통령(1801-9))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,건물,건축,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sport,(일반적인) 스포츠[운동/경기],(특정한) 스포츠[운동/경기],(특히 남자를 친근하게 가리켜) 친구[자네],"재미, 장난",체세포 돌연변이종,자랑스럽게 보이다[입다],즐겁게 놀다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conclusion,"결론, (최종적인) 판단",(연설·글 등의) 결말[마무리],(협정 등의) 체결,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
submit,(서류·제안서 등을) 제출하다,"항복[굴복]하다, (굴복하여) …하기로 하다","말하다, 진술[제안]하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inflation,"인플레이션, 통화 팽창; 인플레이션율, 물가 상승율",(공기나 가스로) 부풀리기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
please,&lt;남에게 정중하게 무엇을 부탁하거나 하라고 할 때 덧붙이는 말&gt;,"부디, 제발, 정말(요청진술을 강하게 할 때)",&lt;무엇을 정중히 받아들일 때 쓰는 표현&gt;,제발 (그만해)!(나쁜 행동을 그만하라고 부탁할 때 쓰는 표현),설마(상대방의 말이 바보 같다는 생각으로 하는 대꾸),"(남을) 기쁘게 하다, 기분[비위]을 맞추다",(흔히 as whatwhere 등의 뒤에 쓰여) …하고 싶다[원하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regional,지방[지역]의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
correct,"맞는, 정확한","적절한, 옳은",(태도가) 올바른,"바로잡다, 정정하다",(가끔 점수를 매기기도 하면서 과제를) 검사하다,(남의 실수를) 바로잡다[지적하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reinvestment,재투자.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
