,,0
0,0,0.5767085999999999
0,1,0.5395339
0,2,0.3674374
0,3,0.61123484
0,4,0.56941336
0,5,0.59863234
0,6,0.4760652
0,7,0.68859833
0,8,0.6735142
0,9,0.43456486
0,10,0.48849472
0,11,0.5205721999999999
0,12,0.51967245
0,13,0.68405855
0,14,0.64998114
0,15,0.63326687
1,0,0.6459509
1,1,0.53569835
1,2,0.39943713
1,3,0.6554485
1,4,0.6177488
1,5,0.77520835
1,6,0.42769337
1,7,0.7358427
1,8,0.7142367
1,9,0.44626904
1,10,0.36623862
1,11,0.4820084
1,12,0.51974577
1,13,0.7350222
1,14,0.70575553
1,15,0.7119840999999999
2,0,0.40029349999999997
2,1,0.3751084
2,2,0.26713735
2,3,0.4975050999999999
2,4,0.40275827
2,5,0.37713265
2,6,0.31028384
2,7,0.51399285
2,8,0.49333602
2,9,0.35195154
2,10,0.26521897
2,11,0.34265092
2,12,0.32641095
2,13,0.52910703
2,14,0.48637712
2,15,0.49268310000000004
3,0,0.8628196
3,1,0.6346822
3,2,0.444982
3,3,0.73912644
3,4,0.7445626999999999
3,5,0.85752475
3,6,0.55001634
3,7,0.89800113
3,8,0.9092446
3,9,0.6869179
3,10,0.64302516
3,11,0.61896855
3,12,0.6335378
3,13,0.91453594
3,14,0.87571126
3,15,0.81358486
4,0,0.57461625
4,1,0.5386759
4,2,0.39431459999999996
4,3,0.55880666
4,4,0.5436591
4,5,0.69469213
4,6,0.42818370000000006
4,7,0.68339366
4,8,0.61759436
4,9,0.21563451
4,10,0.41294494
4,11,0.46926618
4,12,0.47839487
4,13,0.6529456
4,14,0.62248373
4,15,0.6310273000000001
5,0,0.39917347
5,1,0.38388590000000006
5,2,0.23902872
5,3,0.50065917
5,4,0.43227407
5,5,0.31595737
5,6,0.3223875
5,7,0.51749885
5,8,0.50627387
5,9,0.5020522
5,10,0.40774238
5,11,0.42950007
5,12,0.35906833
5,13,0.5265681
5,14,0.47340858
5,15,0.43273469999999997
6,0,0.6713273
6,1,0.4867385
6,2,0.38624734
6,3,0.5459691
6,4,0.40249450000000003
6,5,0.5408710999999999
6,6,0.6010857
6,7,0.63493985
6,8,0.70668805
6,9,0.37072736
6,10,0.5147259
6,11,0.44148666
6,12,0.45684195
6,13,0.69248784
6,14,0.7794441
6,15,0.60679334
7,0,0.7398104
7,1,0.60463333
7,2,0.5400024999999999
7,3,0.7523295999999999
7,4,0.7057656999999999
7,5,0.81901324
7,6,0.62247497
7,7,0.8305756
7,8,0.8439171999999998
7,9,0.5133367
7,10,0.56730187
7,11,0.72079754
7,12,0.60906744
7,13,0.8588825000000001
7,14,0.81832474
7,15,0.7647079999999999
8,0,0.8878358000000001
8,1,0.69227314
8,2,0.5008855999999999
8,3,0.79809016
8,4,0.7954996
8,5,0.8562334
8,6,0.71508706
8,7,0.9329859
8,8,0.9796097
8,9,0.74633557
8,10,0.7647311
8,11,0.7666852
8,12,0.7238784
8,13,0.9611795
8,14,0.9283976
8,15,0.83846813
9,0,0.8344590000000001
9,1,0.7043524999999999
9,2,0.539816
9,3,0.85135657
9,4,0.8605664000000001
9,5,0.8959507999999999
9,6,0.62961227
9,7,0.95325875
9,8,0.95754427
9,9,0.72186023
9,10,0.64776874
9,11,0.7937303000000001
9,12,0.7142364
9,13,0.96470004
9,14,0.87389565
9,15,0.8624086999999999
10,0,0.799901
10,1,0.70274335
10,2,0.4647272
10,3,0.7361
10,4,0.7619113000000001
10,5,0.6912590999999999
10,6,0.7386829
10,7,0.8764987
10,8,0.90128314
10,9,0.6950988
10,10,0.8064318
10,11,0.7931613000000001
10,12,0.7217682
10,13,0.8863663
10,14,0.8211690999999999
10,15,0.74540484
11,0,0.7078018
11,1,0.5287184
11,2,0.3222125
11,3,0.6181059
11,4,0.69560367
11,5,0.6947315
11,6,0.42745936
11,7,0.76172966
11,8,0.7999185999999999
11,9,0.72860456
11,10,0.62414473
11,11,0.50758636
11,12,0.5607758
11,13,0.7818219
11,14,0.7013875
11,15,0.68586475
12,0,0.8002725
12,1,0.60094994
12,2,0.43004337
12,3,0.67131096
12,4,0.67039114
12,5,0.7210371
12,6,0.6511037
12,7,0.81618017
12,8,0.8710283999999999
12,9,0.65561813
12,10,0.6971148
12,11,0.6353522
12,12,0.6271383
12,13,0.8532634
12,14,0.8231415999999999
12,15,0.73898435
13,0,0.6866469000000001
13,1,0.60444856
13,2,0.41927475
13,3,0.6748966
13,4,0.5550696999999999
13,5,0.64255226
13,6,0.5995805000000001
13,7,0.753609
13,8,0.7883505999999999
13,9,0.40181290000000003
13,10,0.47445315
13,11,0.49624583
13,12,0.53404653
13,13,0.7773778
13,14,0.81580096
13,15,0.72918516
14,0,0.7844270000000001
14,1,0.6663289000000001
14,2,0.47301528
14,3,0.72079647
14,4,0.800507
14,5,0.7003705
14,6,0.75819063
14,7,0.87498474
14,8,0.9037364999999999
14,9,0.7264959
14,10,0.79854536
14,11,0.7832955
14,12,0.7404634
14,13,0.9055523000000001
14,14,0.7954364
14,15,0.77188766
15,0,0.7379909
15,1,0.57548153
15,2,0.42619693
15,3,0.70230186
15,4,0.61112785
15,5,0.6740284000000001
15,6,0.6364288
15,7,0.75181735
15,8,0.8467578000000001
15,9,0.69148445
15,10,0.6701123999999999
15,11,0.64986944
15,12,0.5742722
15,13,0.8067989000000001
15,14,0.84409344
15,15,0.6748721
16,0,0.8426812
16,1,0.6646976
16,2,0.48882756
16,3,0.829009
16,4,0.825326
16,5,0.81900847
16,6,0.62672865
16,7,0.9366875
16,8,0.9609568000000002
16,9,0.8069889
16,10,0.7288184
16,11,0.7705156999999999
16,12,0.71020716
16,13,0.96243125
