,row_id,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,count
37505591,37505591,8965951266,801103753,2766,0,4687,2,1,25333.0,True,17917
37504080,37504080,7561652242,801103753,2358,0,3888,0,1,24666.0,True,17917
37504074,37504074,7559247812,801103753,1471,0,3885,3,1,32000.0,True,17917
37504075,37504075,7559247812,801103753,1470,0,3885,2,1,32000.0,True,17917
37504076,37504076,7559247812,801103753,1469,0,3885,1,1,32000.0,True,17917
37504077,37504077,7559607646,801103753,1726,0,3886,1,0,32000.0,True,17917
37504078,37504078,7559607646,801103753,1725,0,3886,0,1,32000.0,True,17917
37504079,37504079,7559607646,801103753,1724,0,3886,0,1,32000.0,True,17917
37504081,37504081,7561652242,801103753,2356,0,3888,3,1,24666.0,True,17917
37504803,37504803,7989504771,801103753,4508,0,4233,1,0,110000.0,True,17917
37504082,37504082,7561652242,801103753,2357,0,3888,2,1,24666.0,True,17917
37504083,37504083,7562049491,801103753,2337,0,3889,3,1,26666.0,True,17917
37504084,37504084,7562049491,801103753,2336,0,3889,0,0,26666.0,True,17917
37504085,37504085,7562049491,801103753,2335,0,3889,0,1,26666.0,True,17917
37504086,37504086,7562358857,801103753,1896,0,3890,1,1,39333.0,True,17917
37504087,37504087,7562358857,801103753,1895,0,3890,0,1,39333.0,True,17917
37504073,37504073,7559052874,801103753,1483,0,3884,1,1,27333.0,True,17917
37504072,37504072,7559052874,801103753,1481,0,3884,0,1,27333.0,True,17917
37504071,37504071,7559052874,801103753,1482,0,3884,2,1,27333.0,True,17917
37504070,37504070,7558931858,801103753,1416,0,3883,3,1,25666.0,True,17917
37504069,37504069,7558931858,801103753,1415,0,3883,0,0,25666.0,True,17917
37504068,37504068,7558931858,801103753,1417,0,3883,2,1,25666.0,True,17917
37504067,37504067,7558816526,801103753,10052,1,3882,-1,-1,,False,17917
37504066,37504066,7558455744,801103753,2464,0,3881,0,1,27666.0,True,17917
37504065,37504065,7558455744,801103753,2465,0,3881,1,1,27666.0,True,17917
37504064,37504064,7558455744,801103753,2466,0,3881,2,1,27666.0,True,17917
37504063,37504063,7558283566,801103753,2467,0,3880,0,1,23000.0,True,17917
37504062,37504062,7558283566,801103753,2469,0,3880,3,0,23000.0,True,17917
37504061,37504061,7558283566,801103753,2468,0,3880,0,1,23000.0,True,17917
37504060,37504060,7557997807,801103753,2452,0,3879,3,1,23333.0,True,17917
37504059,37504059,7557997807,801103753,2453,0,3879,0,1,23333.0,True,17917
37504058,37504058,7557997807,801103753,2454,0,3879,2,1,23333.0,True,17917
37504057,37504057,7557795165,801103753,1657,0,3878,2,1,55000.0,True,17917
37504088,37504088,7562358857,801103753,1897,0,3890,2,1,39333.0,True,17917
37504089,37504089,7562510573,801103753,1476,0,3891,0,1,25000.0,True,17917
