,Unnamed: 0,user_id,qId,answered_correctly,problem
0,0,1,1,0.25,the assets of marble faun publishing company  suffered  last quarter when one of their main local distributors went out of business 
1,1,4,1,1.0,the assets of marble faun publishing company  suffered  last quarter when one of their main local distributors went out of business 
2,2,6,1,0.5,the assets of marble faun publishing company  suffered  last quarter when one of their main local distributors went out of business 
3,3,8,1,0.75,the assets of marble faun publishing company  suffered  last quarter when one of their main local distributors went out of business 
4,4,13,1,0.75,the assets of marble faun publishing company  suffered  last quarter when one of their main local distributors went out of business 
5,5,14,1,0.6666666666666666,the assets of marble faun publishing company  suffered  last quarter when one of their main local distributors went out of business 
6,6,16,1,1.0,the assets of marble faun publishing company  suffered  last quarter when one of their main local distributors went out of business 
7,7,1,2,0.3333333333333333,lndie film director luke steele will be in london for the premiere of  his  new movie 
8,8,4,2,0.9861111111111112,lndie film director luke steele will be in london for the premiere of  his  new movie 
9,9,6,2,1.0,lndie film director luke steele will be in london for the premiere of  his  new movie 
10,10,8,2,0.75,lndie film director luke steele will be in london for the premiere of  his  new movie 
11,11,10,2,0.5,lndie film director luke steele will be in london for the premiere of  his  new movie 
12,12,11,2,0.0,lndie film director luke steele will be in london for the premiere of  his  new movie 
13,13,13,2,0.8,lndie film director luke steele will be in london for the premiere of  his  new movie 
14,14,14,2,0.8,lndie film director luke steele will be in london for the premiere of  his  new movie 
15,15,16,2,1.0,lndie film director luke steele will be in london for the premiere of  his  new movie 
16,16,1,3,0.0,laboratory employees are expected to wear a name tag and carry identification at  all  times 
17,17,4,3,0.9736842105263158,laboratory employees are expected to wear a name tag and carry identification at  all  times 
18,18,6,3,0.0,laboratory employees are expected to wear a name tag and carry identification at  all  times 
19,19,8,3,0.75,laboratory employees are expected to wear a name tag and carry identification at  all  times 
20,20,10,3,0.3333333333333333,laboratory employees are expected to wear a name tag and carry identification at  all  times 
21,21,11,3,0.0,laboratory employees are expected to wear a name tag and carry identification at  all  times 
22,22,14,3,0.7142857142857143,laboratory employees are expected to wear a name tag and carry identification at  all  times 
23,23,16,3,1.0,laboratory employees are expected to wear a name tag and carry identification at  all  times 
24,24,1,4,1.0,the latest training  guide  contains tips on teaching a second language to international students 
25,25,4,4,0.5,the latest training  guide  contains tips on teaching a second language to international students 
26,26,6,4,1.0,the latest training  guide  contains tips on teaching a second language to international students 
27,27,8,4,1.0,the latest training  guide  contains tips on teaching a second language to international students 
28,28,10,4,1.0,the latest training  guide  contains tips on teaching a second language to international students 
29,29,14,4,1.0,the latest training  guide  contains tips on teaching a second language to international students 
30,30,16,4,1.0,the latest training  guide  contains tips on teaching a second language to international students 
31,31,1,5,0.0,once you have your resume with references and  qualifications    please submit it to the human resources department on the  rd floor 
32,32,4,5,0.8,once you have your resume with references and  qualifications    please submit it to the human resources department on the  rd floor 
33,33,6,5,1.0,once you have your resume with references and  qualifications    please submit it to the human resources department on the  rd floor 
34,34,8,5,0.8333333333333334,once you have your resume with references and  qualifications    please submit it to the human resources department on the  rd floor 
35,35,10,5,0.0,once you have your resume with references and  qualifications    please submit it to the human resources department on the  rd floor 
36,36,14,5,1.0,once you have your resume with references and  qualifications    please submit it to the human resources department on the  rd floor 
37,37,16,5,0.75,once you have your resume with references and  qualifications    please submit it to the human resources department on the  rd floor 
38,38,1,6,0.0,ursa major corp  has  recently  negotiated a deal with a russian competitor in surveying the kamchatka peninsula 
39,39,4,6,0.9361702127659576,ursa major corp  has  recently  negotiated a deal with a russian competitor in surveying the kamchatka peninsula 
40,40,6,6,0.0,ursa major corp  has  recently  negotiated a deal with a russian competitor in surveying the kamchatka peninsula 
41,41,8,6,1.0,ursa major corp  has  recently  negotiated a deal with a russian competitor in surveying the kamchatka peninsula 
42,42,10,6,0.6666666666666666,ursa major corp  has  recently  negotiated a deal with a russian competitor in surveying the kamchatka peninsula 
43,43,14,6,0.75,ursa major corp  has  recently  negotiated a deal with a russian competitor in surveying the kamchatka peninsula 
44,44,16,6,0.25,ursa major corp  has  recently  negotiated a deal with a russian competitor in surveying the kamchatka peninsula 
45,45,1,7,1.0,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
46,46,2,7,0.5555555555555556,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
47,47,3,7,0.8,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
48,48,4,7,0.5,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
49,49,5,7,0.0,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
50,50,6,7,0.3333333333333333,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
51,51,7,7,1.0,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
52,52,8,7,0.5,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
53,53,9,7,0.75,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
54,54,10,7,0.5,ms  cho relayed her concerns about the company s financial situation while she  was having  a meeting with the manager 
