,Unnamed: 0,user_id,qId,answered_correctly,problem
0,0,1,1,0.25,"['asset', 'marble', 'faun', 'publishing', 'company', 'suffer', 'last', 'quarter', 'main', 'local', 'distributor', 'go', 'business']"
1,1,4,1,1.0,"['asset', 'marble', 'faun', 'publishing', 'company', 'suffer', 'last', 'quarter', 'main', 'local', 'distributor', 'go', 'business']"
2,2,6,1,0.5,"['asset', 'marble', 'faun', 'publishing', 'company', 'suffer', 'last', 'quarter', 'main', 'local', 'distributor', 'go', 'business']"
3,3,8,1,0.75,"['asset', 'marble', 'faun', 'publishing', 'company', 'suffer', 'last', 'quarter', 'main', 'local', 'distributor', 'go', 'business']"
4,4,13,1,0.75,"['asset', 'marble', 'faun', 'publishing', 'company', 'suffer', 'last', 'quarter', 'main', 'local', 'distributor', 'go', 'business']"
5,5,14,1,0.6666666666666666,"['asset', 'marble', 'faun', 'publishing', 'company', 'suffer', 'last', 'quarter', 'main', 'local', 'distributor', 'go', 'business']"
6,6,16,1,1.0,"['asset', 'marble', 'faun', 'publishing', 'company', 'suffer', 'last', 'quarter', 'main', 'local', 'distributor', 'go', 'business']"
7,7,1,2,0.3333333333333333,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
8,8,4,2,0.9861111111111112,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
9,9,6,2,1.0,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
10,10,8,2,0.75,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
11,11,10,2,0.5,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
12,12,11,2,0.0,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
13,13,13,2,0.8,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
14,14,14,2,0.8,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
15,15,16,2,1.0,"['lndie', 'film', 'director', 'luke', 'steele', 'london', 'premiere', 'movie']"
16,16,1,3,0.0,"['laboratory', 'employee', 'expect', 'wear', 'name', 'tag', 'carry', 'identification', 'time']"
17,17,4,3,0.9736842105263158,"['laboratory', 'employee', 'expect', 'wear', 'name', 'tag', 'carry', 'identification', 'time']"
18,18,6,3,0.0,"['laboratory', 'employee', 'expect', 'wear', 'name', 'tag', 'carry', 'identification', 'time']"
19,19,8,3,0.75,"['laboratory', 'employee', 'expect', 'wear', 'name', 'tag', 'carry', 'identification', 'time']"
20,20,10,3,0.3333333333333333,"['laboratory', 'employee', 'expect', 'wear', 'name', 'tag', 'carry', 'identification', 'time']"
21,21,11,3,0.0,"['laboratory', 'employee', 'expect', 'wear', 'name', 'tag', 'carry', 'identification', 'time']"
22,22,14,3,0.7142857142857143,"['laboratory', 'employee', 'expect', 'wear', 'name', 'tag', 'carry', 'identification', 'time']"
23,23,16,3,1.0,"['laboratory', 'employee', 'expect', 'wear', 'name', 'tag', 'carry', 'identification', 'time']"
24,24,1,4,1.0,"['late', 'training', 'guide', 'contain', 'tip', 'teach', 'second', 'language', 'international', 'student']"
25,25,4,4,0.5,"['late', 'training', 'guide', 'contain', 'tip', 'teach', 'second', 'language', 'international', 'student']"
26,26,6,4,1.0,"['late', 'training', 'guide', 'contain', 'tip', 'teach', 'second', 'language', 'international', 'student']"
27,27,8,4,1.0,"['late', 'training', 'guide', 'contain', 'tip', 'teach', 'second', 'language', 'international', 'student']"
28,28,10,4,1.0,"['late', 'training', 'guide', 'contain', 'tip', 'teach', 'second', 'language', 'international', 'student']"
29,29,14,4,1.0,"['late', 'training', 'guide', 'contain', 'tip', 'teach', 'second', 'language', 'international', 'student']"
30,30,16,4,1.0,"['late', 'training', 'guide', 'contain', 'tip', 'teach', 'second', 'language', 'international', 'student']"
31,31,1,5,0.0,"['resume', 'reference', 'qualification', 'please', 'submit', 'human', 'resource', 'department', 'floor']"
32,32,4,5,0.8,"['resume', 'reference', 'qualification', 'please', 'submit', 'human', 'resource', 'department', 'floor']"
33,33,6,5,1.0,"['resume', 'reference', 'qualification', 'please', 'submit', 'human', 'resource', 'department', 'floor']"
34,34,8,5,0.8333333333333334,"['resume', 'reference', 'qualification', 'please', 'submit', 'human', 'resource', 'department', 'floor']"
35,35,10,5,0.0,"['resume', 'reference', 'qualification', 'please', 'submit', 'human', 'resource', 'department', 'floor']"
36,36,14,5,1.0,"['resume', 'reference', 'qualification', 'please', 'submit', 'human', 'resource', 'department', 'floor']"
37,37,16,5,0.75,"['resume', 'reference', 'qualification', 'please', 'submit', 'human', 'resource', 'department', 'floor']"
38,38,1,6,0.0,"['ursa', 'major', 'corp', 'recently', 'negotiate', 'deal', 'russian', 'competitor', 'survey', 'kamchatka', 'peninsula']"
39,39,4,6,0.9361702127659576,"['ursa', 'major', 'corp', 'recently', 'negotiate', 'deal', 'russian', 'competitor', 'survey', 'kamchatka', 'peninsula']"
40,40,6,6,0.0,"['ursa', 'major', 'corp', 'recently', 'negotiate', 'deal', 'russian', 'competitor', 'survey', 'kamchatka', 'peninsula']"
41,41,8,6,1.0,"['ursa', 'major', 'corp', 'recently', 'negotiate', 'deal', 'russian', 'competitor', 'survey', 'kamchatka', 'peninsula']"
